OBJECTID,Feature Type,Feature Subtype,Feature Name,Administrative Unit Code,Administrative State,DESCRIPTION,WEB_LINK,PHOTO_TEXT,UNIT_NAME,SOURCE,WEB_DISPLAY,PHOTO_LINK,PHOTO_THUMB,GlobalID,Original_GlobalID,Latitude,Longitude,x,y
89484,3,Campsite - Developed - Reservable - Fee,Outfitter Camp Area,IDI01000,ID,,,,,,YES,,,2029b107-9674-4e82-862b-7ca96ed2faa5,{60E9D826-0306-4E94-939E-F9EC85FCC951},43.56324852,-111.44400379,-111.444003788,43.563248521
89485,2,Boat Ramp,Elevenmile Day Use Area,IDI04000,ID,,,,,,YES,,,ec320658-ee87-4ab5-854a-73f2778c9326,{13FBA01C-6AF1-4745-A54E-03FF96C20CB2},45.02641527,-113.91755303,-113.917553034,45.026415265
89486,3,Campsite - Primitive - Non Reservable - No Fee,Paddock Reservoir,IDB01000,ID,,,,,,YES,,,650d50f8-3359-4720-9c06-87b8629573ff,{55611491-6E32-4B7D-BF4E-079E05417BC7},44.19773011,-116.59880925,-116.598809249,44.197730107
89487,3,Campsite - Primitive - Non Reservable - No Fee,Mud Creek B,IDI01000,ID,,,,,,YES,,,9a30e974-902a-45e2-ae86-5d3ea745d25c,{CA9F75F0-D73C-404B-9BEA-81DB931E53CA},43.60847431,-111.52154275,-111.521542749,43.608474314
89489,7,Trail Head,Tindall Trail,IDB02000,ID,,,,,,YES,,,dfdb4d82-8023-4a11-84ec-f0ad4265a9d2,{78D48F72-02F1-422E-87B4-5E1486BCF9CE},42.33252912,-115.77622546,-115.776225462,42.3325291240001
89490,3,Campsite - Primitive - Non Reservable - No Fee,Gormer Canyon 4 C,IDI01000,ID,,,,,,YES,,,46676cb2-d628-4286-afde-eda2f13ac387,{B36949C5-565F-4E57-9A0F-D64B2A7B2C68},43.57331553,-111.44303591,-111.443035912,43.5733155300001
89491,3,Campsite - Developed - Non Reservable - Fee,Steck Park,IDB01000,ID,,,,,,YES,,,954ede24-c463-4cc4-8c80-f134d27788cf,{87BBBAC7-BB64-4C8C-B159-9BEB8D6CEBE1},44.36410749,-117.21564767,-117.215647669,44.36410749
89492,7,Access Point,Ted Trueblood Wildlife Area,IDB01000,ID,,,,,,YES,,,ee483349-fe17-4aca-b0b8-30cad3be7cad,{30FB2DB7-2F40-42A6-ACD7-330B12B7493E},43.00241088,-116.09993621,-116.099936214,43.002410878
89493,3,Campsite - Primitive - Non Reservable - No Fee,Pine Creek 3 A,IDI01000,ID,,,,,,YES,,,98768cb9-7517-411f-8273-42ba160acbf0,{5945E159-6553-4C5E-BE6A-3058DE8CE119},43.49805398,-111.42408262,-111.424082619,43.4980539800001
89494,3,Campsite - Developed - Non Reservable - No Fee,Elkhorn Beach 1,IDC02000,ID,,,,,,YES,,,25f82ac0-eb71-4d0e-b1e8-575eaff10890,{2E0AB9B4-D3E4-4B3F-B869-BFFD6AC51A3C},45.40520969,-116.08835556,-116.088355564,45.405209685
89495,7,Access Point,Miller Gulch Trailhead,IDB01000,ID,,,,,,YES,,,8efdc9dd-c794-43c9-adc2-28621aee66fc,{C8F23342-B302-4B0B-B856-180F5A04D212},43.67357501,-116.18050388,-116.180503877,43.6735750140001
89496,7,Staging Area,Chaulky Butte OHV Trailhead,IDB03000,ID,,,,,,YES,,,7ffdaf74-a0ec-45be-886c-f3e416212fa7,{70372FFB-B24E-4E69-8D7E-E203E80707B4},43.29746861,-116.66004623,-116.660046235,43.2974686110001
89497,3,Campsite - Developed - Reservable - Fee,Outfitter Camp Area,IDI01000,ID,,,,,,YES,,,c18b7311-b931-42af-9845-230a39786100,{6760E204-F437-4BE0-BFBB-3EF7E4959CAE},43.56263738,-111.4409229,-111.440922903,43.562637377
89498,3,Campsite - Developed - Non Reservable - No Fee,Goodenough Creek Campground,IDI02000,ID,,,,,,YES,,,578086f7-ee15-4708-b98a-af20321ae164,{DF15C6E7-ECBB-481E-B6A0-9DEA737413E3},42.65430557,-112.28583213,-112.285832129,42.6543055660001
89499,2,Boat Launch,Magic Reservoir,IDT03000,ID,,,,,,YES,,,c253302f-7c7c-48fe-8b7e-c4705f21fd46,{9A5BF511-11EB-4216-973A-F66696D9962F},43.25581017,-114.35521477,-114.355214765,43.2558101750001
89500,7,Staging Area,Parma Hills OHV Area,IDB01000,ID,,,,,,YES,,,71b3f9e0-2ab9-452f-acb3-cdef2dc590e2,{7EA9BAB6-F971-4BBB-8693-5C79D8D42758},43.83627,-116.88018,-116.88018,43.8362700000001
89501,7,Access Point,Roberson Trailhead East Trailhead,IDT01000,ID,,,,,,YES,,,beb05f18-6736-4839-9118-d9b77ceea765,{483CB6F6-5AF1-4B18-B726-E16B609D3E52},42.65203177,-115.69728092,-115.697280922,42.652031767
89502,7,Trail Head,Lime Creek Trailhead,IDI04000,ID,,,,,,YES,,,b7bc8e67-4670-4a45-be70-bc01ee4ee7de,{ABF31984-8DCD-4B59-B8A7-90A51235EB5D},44.919728,-113.96119792,-113.961197916,44.9197279970001
89503,2,Boat Launch,Deer Creek,IDB01000,ID,,,,,,YES,,,b05ea0ea-384e-4adb-a898-9ae5b619dda0,{3DBB381A-0E96-4C1D-B3BC-E6E4EAFEA76B},44.09266901,-116.04297809,-116.042978091,44.0926690090001
