OBJECTID,Facility Type,Facility Name,Park Name,Park Region,DATA SOURCE,CREATE_DATE,DATA CREATOR EDITOR,SITEID,COMMENTS,GlobalID,x,y
887,Water (Potable),Park Visitor Center area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,21a4500c-347a-4890-a589-a9f70e91d005,-11655888.7588905,5956695.60749853
888,Restroom (Flush),Visitor Center restroom,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,329cb389-f75c-43b6-87c3-0c0cd450dfb2,-11655854.6106725,5956737.39305657
889,Parking,Buccaneer Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,c5c342dd-b79f-4cf9-b3b1-f5b6a9b40dbc,-11654968.252434,5955345.25243802
890,Restroom (Vault),Buccaneer Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,8fab6f9c-539c-48b6-9eda-764db34bf8a2,-11654967.1011948,5955376.77387822
891,Restroom (Vault),Diane Gabrial Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,d985fe34-ad39-4bbb-9aec-9ad49bf01da6,-11654675.7619916,5954374.51672008
892,Visitor Information Kiosk,Diane Gabrial Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,475232ce-1ca9-4e67-b093-6d4c63705b58,-11654677.7391843,5954389.84802343
893,Restroom (Vault),Diane Gabrial Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,89721644-ce4e-424d-8bd4-673dea1b8f04,-11654613.6667377,5954569.58604354
894,Parking,Diane Gabrial Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,7810bd7b-5de4-4a40-a40c-47f37643c36e,-11654605.4729574,5954512.92213677
895,Restroom (Vault),Doc Hiatt Overlook Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,fdccea6a-659a-4f72-8753-eb56fe4abbcb,-11652928.324218,5951965.97576909
896,Restroom (Vault),Ponderosa Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager note,931f4692-a3aa-446a-90a3-17a8029cfbbd,-11653004.9435055,5951513.70122744
897,Campsite,20 - Ponderosa Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager note,20f784e1-4a4c-4cb5-a82d-11ec785b82e0,-11653027.651122,5951498.34039771
898,Restroom (Vault),,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager note,d586ae6f-7421-4d24-bc0e-b84ab221118a,-11653498.547705,5951760.3734022
899,Campsite,21,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager note,bc520944-1ada-42b3-9ad1-68916e825dae,-11653534.4148221,5951785.49290232
900,Campsite,22,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager note,bc0266e0-d40f-4aeb-a304-b948ca72bf64,-11653839.3426133,5951756.5535325
901,Restroom (Vault),Ponderosa Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager note,42a2c93c-9ef8-4497-a2c5-0f91a9196e98,-11652880.5875755,5951315.48710654
902,Campsite,23 - Ponderosa Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager note,7683c18e-223f-4be1-a43f-0818fb02bef1,-11652928.1467201,5951296.67284658
903,Parking,Cap Rock Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager note,355b5347-c4e0-4bbc-88b2-eec8014323c7,-11652983.1779103,5950982.81654152
904,Restroom (Vault),Cap Rock Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager note,b5ed8552-303b-4fdf-ae73-f5399d473479,-11652959.3144993,5950986.6434818
905,Visitor Information Kiosk,Cap Rock Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager note,29bf5488-8614-4d18-87a2-307f370c833e,-11652950.219368,5950967.68100295
906,Restroom (Vault),,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager note,0e10fcea-c763-4b8f-90a0-455c71d22922,-11652477.3650738,5950464.09922182
907,Campsite,24,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager note,0b5950c6-2dd0-46e1-913a-233120153ae5,-11652510.9613881,5950423.29752969
908,Restroom (Vault),Pine On Rocks Campground area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager note,b3cfd05d-b109-4c5c-9d71-f938e11483ba,-11651143.8159847,5951609.51731712
909,Restroom (Vault),Amphitheater Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,0ec4ff3d-b168-4717-98eb-5b9dfe59bcce,-11652125.6310884,5952394.37144443
910,Parking,Amphitheater Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,a8f2d3bb-e969-40d5-9222-f8901500fbbc,-11652126.1746111,5952322.35094608
911,Restroom (Vault),Amphitheater Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,56812adf-379a-40ac-8b8e-27f02d589d58,-11652252.4219723,5952410.7969199
912,Parking,,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,9b9250ac-aaf4-4fb1-b3db-9aa00834f9c2,-11652748.6989543,5949881.43731558
913,Campsite,30,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,9e9ff9fc-5df0-48ef-b84c-2638780735f0,-11652741.3360961,5949166.52250816
914,Campsite,31,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,164a9eda-2308-4910-a792-93dbeeacfc90,-11653046.2014316,5948909.42081209
915,Parking,,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,e447f7b2-da94-4ac8-a9bf-3409c6fddecd,-11652884.4147805,5948799.60794018
916,Scenic Viewpoint,Blue Bird Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,5fbca0bf-a3cb-4a6e-9d56-e8b75ac8792d,-11655488.279528,5957074.02709894
917,Scenic Viewpoint,Diane Gabrial Trailhead area,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,d0e13e10-6128-494e-8ab6-69f4da93140f,-11654356.1479568,5954517.45219274
918,Historic Marker,Fossil,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,1e9dc4f2-e640-4e32-9f33-82648d89c274,-11654244.0696903,5954539.55811489
919,Scenic Viewpoint,Natural Bridge,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,63c8f757-2a5d-4a13-8524-b06d3e3cb868,-11653210.9017785,5950851.73883502
920,Picnic Area,,Makoshika,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283890,Digitized from NAIP imagery and Park Manager notes,99f9b770-4d71-48dc-956a-b42691c015b9,-11651567.0694846,5950245.40946458
921,Interpretive Exhibit,Campers Point,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,3d49f4e3-b493-4a7a-9f44-c64d806d86e2,-11888348.2795987,5637699.3200173
922,Parking,Campers Point,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,66a6e057-7bcf-4b18-a5f7-cdfeb86f726c,-11888388.0018955,5637720.23452727
923,Visitor Information Kiosk,Campers Point,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,cac87aac-694d-4a86-9be9-475703f719f2,-11888337.2459324,5637606.51007012
924,Residence,Park Managers Residence - Campers Point,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,67b5cb7d-225c-4a50-99e6-509b318db88c,-11888084.2777172,5637384.3302687
925,Miscellaneous Facility,Marina Store - Campers Point,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,31bc90cd-f697-42ab-abe1-c66228b0ce2e,-11888005.6742879,5637361.69002332
926,RV Dump Station,Campers Point,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,301076c3-efe0-4e92-9f46-93601f9f1668,-11888179.9652415,5637313.25950124
927,Water (Potable),Campers Point North,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,d2339735-129c-4362-ad36-1d0d2e45d1df,-11887961.8668222,5637422.22437865
928,Picnic Shelter,Campers Point North,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,de3f4110-43eb-4696-b4a8-a5678ff81723,-11887953.7891843,5637431.14893587
929,Parking,Campers Point North,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,19a54352-c408-4de5-946e-e68d5e054dfb,-11887949.4031386,5637384.5963132
930,Miscellaneous Facility,Gas Station - Campers Point North,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,3401d952-fe26-463b-b32c-22bb1d5e8bbe,-11887949.0657023,5637345.5108146
931,Campsite,Rattlesnake Point,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,8b85aa24-c1e5-41d4-8a25-1b7db1b5d6d5,-11888809.0266438,5636261.0417609
932,Restroom (Vault),Peewee Point South,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,9b33d366-54b8-4fca-99c6-8c371b7b6bbd,-11887813.6879937,5637924.19135178
933,Campground Host,Peewee Point South,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,b7653a12-e0af-4ba7-b43b-207f5306769a,-11887722.9661867,5637948.75072184
934,Campground Host,Peewee Point South,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,005513ea-3317-43c8-addc-ad944af3b847,-11887714.8181045,5637994.96506002
935,Playground,Peewee Point South,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,a2abf7ba-2431-41f0-ad0d-9f0d5eb20bd6,-11887803.251057,5637846.80391931
936,Fee Collection Station,Peewee Point South,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,47fc877d-51c6-4aa2-9f94-6ef279fc4ba9,-11887833.8560597,5637800.90054913
937,Water (Potable),Peewee Point South,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,e98c022f-ca73-4c77-97f2-b9f744bc83b2,-11887810.0012011,5637759.68135514
938,Visitor Information Kiosk,Peewee Point South,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,690d0fcb-b7a7-41a5-8fe7-321f2ea969b9,-11887834.0016914,5637796.6786165
939,Parking,Peewee Point South,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,4b60c496-3c2f-4831-80d1-71d9b5c9bf03,-11887752.4456016,5637817.91623422
940,Picnic Shelter,Peewee Point South,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,7771afee-1ad8-427b-a59b-4a09f6954704,-11887759.308109,5637619.02034824
941,Picnic Shelter,Peewee Point South,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,69fbbbed-f8c8-496d-8409-ab5994af53fb,-11887644.9077269,5637638.05877759
942,Picnic Shelter,Peewee Point South,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,4cd36303-abd4-4e0f-bc70-ea890b3108ff,-11887685.964015,5637560.58407604
943,Campsite,Peewee Point South,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,424c0d9d-11d8-4717-b05a-5d6b8a79a651,-11888275.984132,5637825.28358108
944,Campsite,Peewee Point South,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,b9e44f28-59f0-452e-a5d3-14566da69564,-11888234.3716634,5637851.08090787
945,Campsite,Peewee Point South,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,1b013927-10b0-4d09-8aca-1ee6dc436f86,-11888237.4052539,5637817.37053731
946,Campsite,Peewee Point South,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,5bf9a59c-2e9e-4705-9884-b79ce8daad97,-11888174.7525971,5637856.05813229
947,Campsite,Peewee Point South,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,cd1a1744-d5c7-46f8-bf13-2c9b125d0ae6,-11888188.5234864,5637823.18980683
948,Visitor Information Kiosk,,Brush Lake,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,7022011,,a77e520c-fdc6-4a89-8e46-94a324f56d42,-11588583.8140106,6208274.75113828
949,Campsite,1,Medicine Rocks,5,DIGITIZED,3/14/2016 12:00:00 AM,HANSEN,283951,Digitized from NAIP imagery and Park Manager notes,7dda2a97-6bca-4426-afc0-bdc984dddce0,-11629343.8186691,5787049.51935632
950,Campsite,18,Placid Lake,2,HANSEN GPS DATA,8/10/2015 12:00:00 AM,HANSEN,280895,,de5afb7c-a26a-498a-ab1e-c75b7919723a,-12635016.2546858,5961260.86420135
